cpu,mem,disk
17.86,25.46,5.76
17.5,27.54,0.08
37.11,34.01,1.28
68.69,39.47,0.0
93.34,39.6,2.16
93.76,39.59,44.32
94.52,39.59,100.0
96.12,39.59,100.0
94.09,39.55,100.0
95.81,39.55,100.0
94.6,39.55,100.0
95.47,39.55,100.0
94.69,39.55,100.0
95.26,39.55,100.0
94.24,39.55,85.52
96.07,39.49,0.0
94.77,39.49,0.0
95.37,39.49,0.0
94.74,39.49,0.56
95.41,39.49,0.0
95.61,39.44,0.0
95.87,39.44,0.0
94.19,39.45,0.0
95.48,39.44,1.04
95.92,39.44,0.0
94.99,39.4,0.56
96.14,39.4,0.0
95.51,39.4,0.08
96.12,39.4,0.0
95.59,39.36,0.0
96.09,39.36,0.08
95.64,39.36,0.0
96.05,39.36,0.0
95.68,39.36,0.0
96.1,39.32,0.0
94.02,39.32,0.0
95.65,39.32,0.0
96.1,39.29,0.0
95.54,39.29,1.12
96.12,39.3,0.0
95.57,39.37,0.0
96.04,39.34,0.0
95.69,39.34,0.0
96.04,39.34,0.0
95.57,39.36,1.12
95.03,39.35,0.0
95.17,39.42,0.0
95.64,39.42,0.0
95.03,39.42,0.0
96.07,39.42,0.0
95.06,39.41,0.0
95.54,39.41,0.08
95.71,39.4,0.08
96.24,39.4,0.08
94.97,39.43,0.08
95.71,39.42,0.0
96.04,39.41,0.0
95.51,39.42,0.0
96.14,39.4,1.76
94.85,39.4,0.0
96.2,39.39,0.08
95.34,39.38,0.0
95.6,39.38,0.0
95.32,39.37,0.0
94.69,39.37,0.0
96.27,39.37,0.64
95.56,39.36,0.0
95.82,39.37,0.0
96.14,39.37,0.0
95.72,39.36,0.0
96.08,39.36,0.0
95.62,39.35,0.0
95.25,39.35,0.0
95.27,39.35,0.0
95.74,39.36,0.0
95.54,39.37,0.0
95.96,39.37,2.48
95.42,39.37,0.0
96.17,39.38,0.0
95.56,39.39,0.0
96.14,39.39,0.0
95.6,39.39,0.0
96.15,39.38,0.0
94.86,39.38,0.0
96.04,39.38,0.0
95.1,39.38,0.0
95.68,39.38,0.8
96.14,39.38,0.0
95.66,39.38,0.0
96.17,39.37,0.0
94.67,39.47,0.0
96.07,39.47,0.0
95.69,39.47,0.0
95.61,39.47,5.36
96.16,39.47,0.0
95.52,39.47,0.0
96.15,39.47,0.08
95.52,39.46,0.0
96.22,39.47,0.0
95.71,39.47,0.08
96.1,39.46,0.0
95.57,39.46,0.0
96.15,39.46,0.0
95.64,39.49,0.08
95.65,39.49,0.0
96.19,39.49,0.08
95.68,39.48,0.08
95.81,39.48,0.0
95.54,39.48,0.0
95.99,39.48,0.0
95.62,39.48,3.2
96.23,39.48,0.0
95.74,39.49,0.08
96.01,39.5,0.0
95.69,39.55,0.56
96.07,39.56,0.0
95.82,39.67,0.0
95.69,39.67,0.0
96.19,39.69,0.08
95.62,39.69,0.0
96.22,39.69,0.0
95.54,39.69,0.0
96.16,39.7,0.0
95.39,39.73,0.0
96.07,39.76,0.08
94.95,39.76,0.0
96.19,39.77,0.0
95.67,39.77,0.0
95.63,39.78,0.0
96.06,39.78,0.96
95.31,39.78,0.0
95.63,39.78,0.0
96.01,39.78,0.0
95.76,39.79,0.0
96.09,39.79,0.0
95.59,39.79,0.0
96.19,39.79,0.0
94.8,39.79,0.0
95.64,39.79,0.0
96.14,39.79,0.56
95.68,39.79,0.0
96.09,39.79,0.0
95.74,39.79,0.0
95.26,39.79,0.0
95.64,39.79,3.44
96.14,39.79,0.0
95.35,39.79,0.0
96.01,39.79,0.0
95.66,39.8,0.08
95.44,39.8,0.0
96.3,39.8,0.0
95.62,39.8,0.0
96.14,39.8,0.0
95.77,39.82,0.0
96.17,39.83,0.0
95.58,39.83,0.0
96.25,39.83,0.0
95.58,39.83,0.08
96.04,39.83,0.0
95.53,39.83,0.0
95.99,39.83,0.88
95.73,39.83,0.0
96.31,39.83,0.0
95.74,39.83,0.72
95.39,39.85,0.0
95.99,39.85,0.0
95.66,39.87,0.08
96.07,39.87,0.0
95.58,39.87,0.0
96.2,39.87,0.0
95.59,39.87,0.08
96.1,39.87,0.08
95.59,39.91,0.0
96.07,39.91,0.0
95.62,39.96,0.0
95.92,39.96,0.0
94.9,40.05,0.0
95.77,40.06,0.0
95.24,40.06,0.0
95.36,40.06,0.0
96.25,40.05,0.0
94.81,40.06,1.04
95.53,40.06,0.48
96.25,40.06,0.0
95.71,40.06,0.0
95.38,40.06,0.0
94.8,40.06,0.0
96.22,40.06,0.0
94.0,40.06,0.0
96.24,40.06,0.0
95.26,40.06,0.0
95.7,40.06,0.0
95.57,40.06,0.0
96.17,40.06,0.0
95.74,40.06,0.0
95.42,40.06,0.0
95.97,40.07,0.0
96.22,40.07,0.0
95.77,40.07,0.0
96.22,40.07,0.0
95.75,40.07,0.0
96.14,40.07,0.56
95.78,40.1,0.96
96.24,40.1,0.0
95.61,40.11,0.0
95.62,40.11,0.0
95.42,40.11,0.08
95.46,40.11,0.0
96.01,40.11,0.0
95.61,40.11,0.0
96.22,40.11,0.0
95.54,40.11,0.0
96.24,40.11,0.16
95.68,40.11,0.0
96.05,40.11,0.0
95.44,40.12,0.48
96.17,40.12,0.0
95.67,40.12,0.0
95.79,40.12,0.0
96.09,40.13,0.0
95.64,40.13,0.08
96.12,40.13,0.16
95.67,40.14,0.56
96.2,40.14,0.0
95.67,40.14,0.0
96.17,40.14,0.08
95.71,40.14,0.0
96.21,40.14,0.0
95.59,40.14,0.08
96.24,40.15,0.0
95.75,40.15,0.0
95.69,40.16,0.48
96.22,40.16,0.0
95.67,40.19,0.0
96.19,40.19,0.0
95.74,40.19,0.0
96.15,40.19,0.0
95.68,40.19,0.0
96.17,40.19,0.0
95.67,40.19,0.0
96.27,40.19,0.0
95.59,40.19,0.0
94.57,40.19,0.0
94.96,40.19,1.12
95.64,40.19,0.0
96.12,40.19,0.0
95.6,40.19,0.08
96.17,40.19,0.0
95.49,40.19,1.84
96.09,40.19,0.0
95.44,40.2,0.0
96.13,40.2,0.0
95.54,40.2,0.0
95.94,40.2,0.0
94.95,40.2,0.0
95.59,40.21,0.08
96.22,40.21,0.08
95.72,40.21,0.0
96.09,40.21,0.0
95.65,40.21,0.0
96.21,40.21,0.0
95.51,40.2,0.0
96.12,40.22,0.88
95.62,40.22,0.08
96.12,40.22,0.64
95.87,40.21,0.08
96.12,40.21,0.08
95.67,40.21,0.0
95.72,40.22,0.08
96.22,40.22,0.0
95.74,40.22,0.0
96.08,40.22,0.0
95.8,40.22,0.08
96.27,40.22,0.0
95.62,40.22,0.0
96.09,40.22,0.0
95.74,40.22,0.0
96.17,40.22,0.0
95.54,40.22,0.08
